station_id,system_index,name,type_id,type_name,proposed_role,authored_ship_ids,authored_weapon_ids,review_note
0-9,0,Alpha Array,89,Subspace Comm,"Sector fleet command relay; orders, distress and intelligence subscriptions only",,,Relay services only; relocate any authored stock before removing market
0-3,0,Daystrom Institute,71,Human Research Lab,"Weapon development, analysis and prototype trials; no general hull sales",,25;9;15;16;21;14;46,Inherit proposed type role; retain existing ownership and catalog gates
0-8,0,Galaxy Living,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
0-6,0,Joe's Repair,83,Maintenance Station,"Discount repairs, salvage refits, towing and explicitly licensed used small hulls",,1;8,Inherit proposed type role; retain existing ownership and catalog gates
0-7,0,Kirk's Pub,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
0-5,0,McKinley,74,Human Shipyard,Small/medium hull construction and refits,1;306;307;308;326;327;344;9,,Inherit proposed type role; retain existing ownership and catalog gates
0-16,0,PS-095,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
0-11,0,PS-102,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
0-13,0,PS-102,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
0-12,0,PS-254,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
0-17,0,PS-548,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
0-14,0,PS-874,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
0-15,0,PS-884,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
0-2,0,Stardock Alpha,70,Human Starbase,"Fleet headquarters, full repairs, licensed reserve sales and stores",38,46,Inherit proposed type role; retain existing ownership and catalog gates
0-10,0,The Safe Harbor,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
0-4,0,Utopia Planitia,73,Human Heavy Shipyard,"Capital construction, heavy overhaul, reserve commissions",327;328;38;35;33;2;344;236,,Inherit proposed type role; retain existing ownership and catalog gates
1-18,1,Dabo Palace,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",335;336;47,1,Inherit proposed type role; retain existing ownership and catalog gates
2-19,2,Isla Asylum,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
3-30,3,Alpha Yard,73,Human Heavy Shipyard,"Capital construction, heavy overhaul, reserve commissions",309;312;4;2;38;305;9,,Inherit proposed type role; retain existing ownership and catalog gates
3-27,3,Beta Yard,74,Human Shipyard,Small/medium hull construction and refits,351;330;305;2;11;312;306;344,,Inherit proposed type role; retain existing ownership and catalog gates
3-31,3,LaForge Institute,71,Human Research Lab,"Weapon development, analysis and prototype trials; no general hull sales",,1;4;10;6;11;8,Inherit proposed type role; retain existing ownership and catalog gates
3-35,3,Nelix Station,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",1;307,1;37,Inherit proposed type role; retain existing ownership and catalog gates
3-34,3,Park Place,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
3-29,3,PS-002,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
3-33,3,PS-354,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
3-23,3,PS-475,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
3-22,3,PS-548,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
3-24,3,PS-978,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
3-21,3,PS-987,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
3-25,3,Repair Yard 1,83,Maintenance Station,"Discount repairs, salvage refits, towing and explicitly licensed used small hulls",,9;10,Inherit proposed type role; retain existing ownership and catalog gates
3-20,3,Stardock Prime,70,Human Starbase,"Fleet headquarters, full repairs, licensed reserve sales and stores",,,Inherit proposed type role; retain existing ownership and catalog gates
3-32,3,The Arboretum,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",343;237,,Inherit proposed type role; retain existing ownership and catalog gates
3-28,3,TS-001,87,Advanced Defense Platform,Heavy torpedoes and layered defense; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
3-26,3,Xiang Yard,73,Human Heavy Shipyard,"Capital construction, heavy overhaul, reserve commissions",33;38;35;328;327;1;344,,Inherit proposed type role; retain existing ownership and catalog gates
4-163,4,X-Base,70,Human Starbase,"Fleet headquarters, full repairs, licensed reserve sales and stores",49;347,,Inherit proposed type role; retain existing ownership and catalog gates
4-36,4,XR-12 (abandoned),78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Exploration/restoration; no staffed services until restored
4-37,4,XR-51 (abandoned),78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Exploration/restoration; no staffed services until restored
4-38,4,XR-57 (abandoned),78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Exploration/restoration; no staffed services until restored
5-40,5,Defense 01,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
5-41,5,Defense 02,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
5-44,5,Defense 03,87,Advanced Defense Platform,Heavy torpedoes and layered defense; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
5-45,5,Free Swiss Exchange,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",,1;5;11;14,Inherit proposed type role; retain existing ownership and catalog gates
5-43,5,Kathy's Pub,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",1,14,Inherit proposed type role; retain existing ownership and catalog gates
5-42,5,Swiss Miss,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",350;349;310;11;10,11;1,Inherit proposed type role; retain existing ownership and catalog gates
5-39,5,Swiss Orbital,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
6-46,6,The Black Skull,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,1;7;31;14,Inherit proposed type role; retain existing ownership and catalog gates
7-208,7,SB-524,70,Human Starbase,"Fleet headquarters, full repairs, licensed reserve sales and stores",,,Inherit proposed type role; retain existing ownership and catalog gates
8-52,8,HD-22,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
8-48,8,HS-29,78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Inherit proposed type role; retain existing ownership and catalog gates
