id	role	price	standing	hull	shields	cargo	mass	speed	turn	warpRange	fuelCapacity	weaponSlots	rationale
1	reserve cruiser	42000	30	250	250	200	4	50	10	610	160	1,15,-	Affordable former fleet cruiser; slower handling and lighter weapons than the strike variant.
2	fleet cruiser	48000	30	240	300	260	4	50	10	800	180	1,15,-	Moves above Miranda in protection and cargo; no inherited Cutting Beam.
4	survey logistics refit	69000	30	240	450	900	5	38	5	920	240	1,15,25	BM civilian conversion of a sensor-oriented cruiser; cargo and survey endurance offset slow handling and modest weapons.
9	long-haul freighter	28000	15	110	180	500	3	32	7	650	240	1,-,-	Cargo and endurance upgrade; broad hull turns slowly and has one defensive beam.
10	heavy tug	31000	15	160	180	650	3	30	6	560	170	14,25,-	Low-cost heavy lift with a real tractor, weak firepower and low impulse speed.
11	civilian combat escort	45000	30	270	300	40	4	58	16	460	130	9,15,-	Combat-focused civilian-market hull trades cargo and endurance for protection and agility.
15	civilian cruiser	65000	30	300	350	500	4	45	10	850	210	1,-,-	Civilian Ambassador carries more freight but starts with much less armament than Imperial variant.
22	compact warship	71000	50	350	300	30	3	68	17	510	150	8,16,-	Small Delpin combatant pays for dense defenses, compact weapons and high agility, not freight.
24	budget light craft	500	0	25	0	5	1	18	18	165	80	-,-,-	Cheapest fragile hull; all three empty slots remain armable.
25	Vulcan transport	6500	0	60	90	65	1	45	18	245	140	4,-,-	Useful defensive plasma beam and extra range above the basic Vulcan shuttle.
29	armed scout	6500	0	60	55	25	1	60	20	245	130	7,15,-	Fast Romulan scouting and light attack; cloak requires a later larger hull or refit-compatible mass.
33	standard battlecruiser	72000	50	400	600	150	4	65	10	800	210	1,15,-	Standard Akira keeps the lower swapped price; strike version adds protection and modern weapons.
35	multipurpose capital	158000	75	650	1000	900	6	52	7	1250	280	2,16,24	Galaxy earns its capital tier through shields, cargo and endurance rather than agility.
38	battlecruiser	180000	75	750	1150	300	6	62	9	1230	280	2,16,18	Sovereign focuses on combat and speed; command variant trades some pace for endurance and cargo.
42	assault battleship	235000	75	1400	1400	350	7	50	5	1440	260	3,19,22	Heavy Klingon assault hull; cloak and bulk offset poor turning and modest cargo.
47	entry utility tug	16000	15	100	100	150	2	45	12	440	180	14,25,-	Oberth is the affordable tractor-equipped working ship below Nova survey capability.
48	JemHadar battlecruiser	245000	75	1200	1600	700	7	42	7	1370	280	2,19,12	Heavy Dominion command ship; sold in the core, never the Blender remnant market.
49	Project X dreadnaught	390000	75	2100	2700	800	8	48	6	1540	300	2,16,18	Meaningful step above ordinary capitals while remaining below Excalibur; secret vendor retained.
